SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_1,adm2_7,adm2_4,adm2_10,adm2_9,adm2_2,adm2_6,adm2_11,adm2_5,adm2_8,adm2_3
29601,6924,2,18,13,77,212,8.94,7.43,0,0,11,0,0,0,0,0,0,0,1,0,0,0
29620,6376,2,24,6,7,111,7.32,6.64,0,0,10,0,0,0,1,0,0,0,0,0,0,0
29670,6732,2,40,20,92,321,10.200000000000001,7.74,0,0,11,0,0,0,0,0,0,0,1,0,0,0
29702,1922,2,18,28,2756,68,33.74,4.48,1,0,3,0,0,0,0,0,0,0,0,0,0,1
29713,9718,2,51,18,564,232,13.400000000000002,8.789999999999997,0,0,11,0,0,0,0,0,0,0,1,0,0,0
29716,3517,2,48,30,20,227,16.17,9.320000000000002,0.81,0,1,1,0,0,0,0,0,0,0,0,0,0
29723,4703,2,38,28,108,251,12.16,8.149999999999999,0,0,3,0,0,0,0,0,0,0,0,0,0,1
29763,2620,2,48,9,2708,279,15.989999999999998,9.74,7.5,0,4,0,0,1,0,0,0,0,0,0,0,0
29778,4923,2,24,12,1252,139,24.96,7.099999999999999,0,0,3,0,0,0,0,0,0,0,0,0,0,1
29800,11467,2,33,12,1559,47,19.39,4.1499999999999995,1.575,0,3,0,0,0,0,0,0,0,0,0,0,1
29821,10147,2,24,21,12,92,12.209999999999999,7.049999999999999,0,0,7,0,1,0,0,0,0,0,0,0,0,0
29825,11881,2,35,24,155,230,9.34,7.9,0,0,2,0,0,0,0,0,1,0,0,0,0,0
29830,10293,2,45,12,65,217,15.370000000000001,10.13,0.45,0,4,0,0,1,0,0,0,0,0,0,0,0
29832,987,2,25,2,1763,217,23.65,5.880000000000001,5.28,0,1,1,0,0,0,0,0,0,0,0,0,0
29852,10489,2,29,1,4,61,8.669999999999998,4.87,0,1,1,1,0,0,0,0,0,0,0,0,0,0
29890,3572,2,42,11,45,211,10.4,7.909999999999999,1.116,0,5,0,0,0,0,0,0,0,0,1,0,0
29907,7981,2,45,26,824,159,11.21,7.7299999999999995,0,0,2,0,0,0,0,0,1,0,0,0,0,0
29913,11501,2,35,24,69,94,17.09,6.09,16.8,0,5,0,0,0,0,0,0,0,0,1,0,0
