SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_7,adm2_9,adm2_5,adm2_4,adm2_6,adm2_1,adm2_3,adm2_8,adm2_2,adm2_10
36207,3324,2,65,24,32,122,7.989999999999998,5.909999999999999,NA,0,6,0,0,0,0,1,0,0,0,0,0
36277,1553,2,20,20,323,305,21.43,12.440000000000001,NA,0,4,0,0,0,1,0,0,0,0,0,0
36317,8132,2,66,31,87,84,9.28,4.220000000000001,NA,0,7,1,0,0,0,0,0,0,0,0,0
36349,5445,2,31,21,25,144,10.89,9.009999999999998,NA,0,5,0,0,1,0,0,0,0,0,0,0
36366,3131,2,30,15,11,32,7.419999999999999,4.05,NA,0,10,0,0,0,0,0,0,0,0,0,1
36447,1190,2,35,6,5,234,12.580000000000002,7.359999999999999,NA,0,6,0,0,0,0,1,0,0,0,0,0
36487,3582,2,50,26,12,68,6.6000000000000005,4.71,NA,0,2,0,0,0,0,0,0,0,0,1,0
36586,3921,2,27,8,23,244,21.13,10.52,NA,0,6,0,0,0,0,1,0,0,0,0,0
36598,1772,2,58,14,9,45,4.54,2.59,NA,0,8,0,0,0,0,0,0,0,1,0,0
36622,5601,2,70,21,36,40,5.05,4.619999999999999,NA,0,5,0,0,1,0,0,0,0,0,0,0
36642,10285,2,65,21,25,38,3.3199999999999994,1.65,NA,0,3,0,0,0,0,0,0,1,0,0,0
36686,11473,2,19,23,16,119,8.23,5.95,NA,0,6,0,0,0,0,1,0,0,0,0,0
36713,2619,2,35,22,14,93,9.360000000000001,7.470000000000001,NA,0,7,1,0,0,0,0,0,0,0,0,0
36721,6641,2,24,16,31,141,11.04,7.459999999999999,NA,0,9,0,1,0,0,0,0,0,0,0,0
36723,7857,2,21,22,44,67,11.1,5.9,NA,0,2,0,0,0,0,0,0,0,0,1,0
36802,6583,2,23,3,71,271,17.29,9.530000000000001,NA,0,5,0,0,1,0,0,0,0,0,0,0
36830,4542,2,22,16,15,274,10.870000000000001,7.77,NA,0,7,1,0,0,0,0,0,0,0,0,0
36832,11211,2,18,18,51,141,9.67,7.369999999999999,NA,0,3,0,0,0,0,0,0,1,0,0,0
36877,9992,2,28,24,19,80,6.640000000000001,3.88,NA,0,1,0,0,0,0,0,1,0,0,0,0
36895,2766,2,45,19,41,124,7.300000000000001,4.32,NA,0,3,0,0,0,0,0,0,1,0,0,0
36915,763,2,20,1,25,156,15.459999999999997,8.729999999999999,NA,1,2,0,0,0,0,0,0,0,0,1,0
36958,1645,2,28,9,70,261,16.47,10.05,NA,0,7,1,0,0,0,0,0,0,0,0,0
36968,9836,2,30,22,13,83,6.36,5.009999999999999,NA,0,7,1,0,0,0,0,0,0,0,0,0
36977,10942,2,23,12,558,80,7.339999999999999,4.989999999999999,NA,0,10,0,0,0,0,0,0,0,0,0,1
36984,11826,2,29,22,39,219,21.56,13.77,NA,0,4,0,0,0,1,0,0,0,0,0,0
37004,2434,2,23,30,473,189,12.489999999999998,6.99,NA,0,8,0,0,0,0,0,0,0,1,0,0
37011,9434,2,25,14,22,237,11.380000000000003,8.599999999999998,NA,0,7,1,0,0,0,0,0,0,0,0,0
37036,2361,2,45,7,16,297,19.999999999999996,8.290000000000001,NA,1,1,0,0,0,0,0,1,0,0,0,0
37056,6488,2,22,21,97,469,26.089999999999996,16.71,NA,0,4,0,0,0,1,0,0,0,0,0,0
37067,2488,2,24,19,45,79,7.08,5.57,NA,0,2,0,0,0,0,0,0,0,0,1,0
37070,2309,2,40,29,31,268,21.85,12.09,NA,0,1,0,0,0,0,0,1,0,0,0,0
37106,10054,2,50,26,24,260,10.16,7.63,NA,0,2,0,0,0,0,0,0,0,0,1,0
37110,1006,2,37,9,13,48,7.640000000000001,5.73,NA,0,10,0,0,0,0,0,0,0,0,0,1
37131,4007,2,70,21,13,70,3.4,3.2699999999999996,NA,0,5,0,0,1,0,0,0,0,0,0,0
37133,1601,2,70,4,2,40,2.2800000000000002,1.46,NA,0,9,0,1,0,0,0,0,0,0,0,0
